Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
João M Barbosa,2009,76458,Moscatel de Setúbal 2009,0.0,6,14.9,Portugal,Alentejano
Quinta da Alorna,2012,1224579,Colheita Tardia Branco 2012,3.9,61,29.95,Portugal,Tejo
Casal Sta. Maria,2015,2182290,Colheita Tardia 2015,4.4,42,22.95,Portugal,Lisboa
Grandjó,2007,1143321,Douro Late Harvest 2007,4.0,256,69.89,Portugal,Douro
Jorge Rosa Santos,2019,4801628,Explicit Late Harvest Branco 2019,0.0,0,13.95,Portugal,Alentejano
Reynolds Wine Growers,2008,4733340,Robert R Reynolds 2008,4.4,34,37.8,Portugal,Alentejano
Rozès,2016,1553953,Douro Noble Late Harvest 2016,4.3,47,29.5,Portugal,Douro
Quinta do Portal,2016,2247086,Late Harvest 2016,0.0,21,16.87,Portugal,Douro
José Maria da Fonseca,2018,94430,Quinta de Camarate Branco Dolce 2018,3.7,94,7.32,Portugal,Península de Setúbal
Malhadinha Nova,2018,1565083,Alentejano Late Harvest 2018,4.3,60,24.95,Portugal,Alentejano
Mapa,2015,5580862,Late Harvest 2015,0.0,19,16.95,Portugal,Douro
Quinta da Alorna,2017,1224579,Colheita Tardia Branco 2017,4.0,27,13.95,Portugal,Tejo
Romana Vini,2019,5276779,Villa Nogueira Branco 2019,0.0,15,9.88,Portugal,Lisboa
Quinta de Sant'Ana,2018,1216925,Late Harvest Riesling 2018,0.0,7,14.79,Portugal,Lisboa
Romana Vini,2016,5276779,Villa Nogueira Branco 2016,3.9,79,10.27,Portugal,Lisboa
Pico Wines,1998,1507032,Lajido 1998,0.0,4,17.0,Portugal,Açores
Pico Wines,1997,1507032,Lajido 1997,0.0,0,25.0,Portugal,Açores
Casa de Santar,2012,2385834,Outono de Santar Colheita Tardia 2012,0.0,12,19.9,Portugal,Dão
Romana Vini,2017,5276779,Villa Nogueira Branco 2017,4.0,46,8.9,Portugal,Lisboa
Quinta do Gradil,2015,4500398,Colheita Tardia 2015,0.0,14,36.5,Portugal,Lisboa
Jorge Rosa Santos,2017,4801628,Explicit Late Harvest Branco 2017,0.0,17,13.95,Portugal,Alentejano
Horácio Simões,2019,1584545,Bastardo 2019,0.0,0,13.5,Portugal,Palmela
Quinta do Portal,2000,2247086,Late Harvest 2000,0.0,0,9.29,Portugal,Douro
Thyro,2017,1880744,Late Harvest 2017,0.0,2,10.45,Portugal,Douro
João M Barbosa,2015,76458,Moscatel de Setúbal 2015,0.0,6,13.95,Portugal,Alentejano
Quinta da Alorna,2013,1224579,Colheita Tardia Branco 2013,0.0,6,12.95,Portugal,Tejo
Quinta do Ameal,2015,2260603,Special Harvest 2015,0.0,12,53.0,Portugal,Vinho Verde
Secret Spot,2019,16153,Late Harvest Petit Manseng 2019,4.5,79,27.07,Portugal,Douro
Montalto,2014,5840831,Cepa Pura Colheita Tardia 2014,0.0,0,19.17,Portugal,Lisboa
Luis Pato,2011,1317643,AM Branco Sweet 2011,4.3,47,13.11,Portugal,Beiras
Luis Pato,2010,1317643,AM Branco Sweet 2010,3.8,45,16.17,Portugal,Beiras
Casa de Santar,2016,2385834,Outono de Santar Colheita Tardia 2016,0.0,13,21.96,Portugal,Dão
Quinta do Ameal,2012,2260603,Special Harvest 2012,0.0,20,55.0,Portugal,Vinho Verde
Monte Cascas,2008,1878297,Late Harvest 2008,0.0,1,75.0,Portugal,Tejo
Folias de Baco,2013,2146198,Olho no Pé Colheita Tardia 2013,0.0,17,17.37,Portugal,Douro
Quinta de Sant'Ana,2016,1216925,Late Harvest Riesling 2016,4.2,44,24.9,Portugal,Lisboa
Jorge Rosa Santos,2021,4801628,Explicit Late Harvest Branco 2021,0.0,0,11.89,Portugal,Alentejano
Quinta de Sant'Ana,2020,1216925,Late Harvest Riesling 2020,0.0,0,16.5,Portugal,Lisboa
José Maria da Fonseca,2019,94430,Quinta de Camarate Branco Dolce 2019,4.1,141,7.12,Portugal,Península de Setúbal
Herdade dos Grous,2014,1534917,Alentejano Late Harvest Colheita Tardia 2014,4.1,33,23.95,Portugal,Alentejano
Horácio Simões,2013,1584545,Bastardo 2013,4.4,132,22.5,Portugal,Palmela
Quinta dos Termos,2012,5322947,Passito 2012,0.0,18,19.95,Portugal,Beiras
Esporão,2017,1105388,Late Harvest 2017,4.1,165,16.94,Portugal,Alentejo
Quinta do Pôpa,2019,1867494,Pôpa Doce 2019,0.0,14,19.9,Portugal,Douro
Quinta do Quetzal,2014,2498253,Rich White 2014,4.1,32,19.5,Portugal,Alentejo
Aneto,2019,1149924,Colheita Tardia 2019,4.1,58,16.5,Portugal,Douro
Jorge Rosa Santos,2016,4801628,Explicit Late Harvest Branco 2016,4.0,25,9.43,Portugal,Alentejano
Aneto,2013,1149924,Colheita Tardia 2013,4.1,41,13.5,Portugal,Douro
Quinta da Alorna,2015,1224579,Colheita Tardia Branco 2015,3.8,26,13.97,Portugal,Tejo
Favaios,2013,6093421,Obliti Late Harvest 2013,4.2,28,22.62,Portugal,Douro
Quinta da Alorna,2012,1224579,Colheita Tardia Branco 2012,3.9,61,29.95,Portugal,Tejo
João M Barbosa,2009,76458,Moscatel de Setúbal 2009,0.0,6,14.9,Portugal,Alentejano
Casal Sta. Maria,2015,2182290,Colheita Tardia 2015,4.4,42,22.95,Portugal,Lisboa
Grandjó,2007,1143321,Douro Late Harvest 2007,4.0,256,69.89,Portugal,Douro
Jorge Rosa Santos,2019,4801628,Explicit Late Harvest Branco 2019,0.0,0,13.95,Portugal,Alentejano
Reynolds Wine Growers,2008,4733340,Robert R Reynolds 2008,4.4,34,37.8,Portugal,Alentejano
Rozès,2016,1553953,Douro Noble Late Harvest 2016,4.3,47,29.5,Portugal,Douro
Quinta do Portal,2016,2247086,Late Harvest 2016,0.0,21,16.87,Portugal,Douro
José Maria da Fonseca,2018,94430,Quinta de Camarate Branco Dolce 2018,3.7,94,7.32,Portugal,Península de Setúbal
Mapa,2015,5580862,Late Harvest 2015,0.0,19,16.95,Portugal,Douro
Malhadinha Nova,2018,1565083,Alentejano Late Harvest 2018,4.3,60,24.95,Portugal,Alentejano
Quinta da Alorna,2017,1224579,Colheita Tardia Branco 2017,4.0,27,13.95,Portugal,Tejo
Romana Vini,2019,5276779,Villa Nogueira Branco 2019,0.0,15,9.88,Portugal,Lisboa
Quinta de Sant'Ana,2018,1216925,Late Harvest Riesling 2018,0.0,7,14.79,Portugal,Lisboa
Romana Vini,2016,5276779,Villa Nogueira Branco 2016,3.9,79,10.27,Portugal,Lisboa
Pico Wines,1998,1507032,Lajido 1998,0.0,4,17.0,Portugal,Açores
Pico Wines,1997,1507032,Lajido 1997,0.0,0,25.0,Portugal,Açores
Casa de Santar,2012,2385834,Outono de Santar Colheita Tardia 2012,0.0,12,19.9,Portugal,Dão
Romana Vini,2017,5276779,Villa Nogueira Branco 2017,4.0,46,8.9,Portugal,Lisboa
Quinta do Gradil,2015,4500398,Colheita Tardia 2015,0.0,14,36.5,Portugal,Lisboa
Jorge Rosa Santos,2017,4801628,Explicit Late Harvest Branco 2017,0.0,17,13.95,Portugal,Alentejano
Horácio Simões,2019,1584545,Bastardo 2019,0.0,0,13.5,Portugal,Palmela
Quinta do Portal,2000,2247086,Late Harvest 2000,0.0,0,9.29,Portugal,Douro
Thyro,2017,1880744,Late Harvest 2017,0.0,2,10.45,Portugal,Douro
João M Barbosa,2015,76458,Moscatel de Setúbal 2015,0.0,6,13.95,Portugal,Alentejano
Quinta da Alorna,2013,1224579,Colheita Tardia Branco 2013,0.0,6,12.95,Portugal,Tejo
