Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Casa Ermelinda Freitas,2010,5514040,Moscatel Roxo de Setúbal 2010,4.5,245,64.0,Portugal,Setúbal
Pacheca,2017,1810916,Late Bottled Vintage Port 2017,4.0,83,25.0,Portugal,Porto
Ferreira,2016,1652269,Dona Antonia Reserva Pessoal Porto 2016,0.0,0,74.11,Portugal,Porto
Bacalhôa,2000,20891,Setúbal Moscatel Roxo Superior 2000,4.4,41,64.9,Portugal,Setúbal
Borges,1987,1141833,Vintage Port 1987,0.0,0,159.0,Portugal,Porto
Poças,2001,1150822,Vintage Port 2001,0.0,5,32.48,Portugal,Porto
Krohn,2005,1175512,Quinta do Retiro Novo Vintage Port 2005,0.0,13,33.74,Portugal,Porto
José Maria da Fonseca,1997,1597392,Alambre Moscatel de Setúbal 1997,4.3,31,36.99,Portugal,Setúbal
Real Companhia Velha,1940,1144184,Colheita Port 1940,0.0,1,239.84,Portugal,Porto
Croft,1983,80040,Vintage Port 1983,0.0,1,66.26,Portugal,Porto
Taylor's,1986,69734,Quinta de Terra Feita Vintage Port 1986,0.0,22,142.28,Portugal,Porto
José Maria da Fonseca,1994,1597392,Alambre Moscatel de Setúbal 1994,0.0,14,35.16,Portugal,Setúbal
Taylor's,1987,69734,Quinta de Terra Feita Vintage Port 1987,0.0,16,81.18,Portugal,Porto
Poças,1980,1149238,Late Bottled Vintage Porto 1980,0.0,3,32.48,Portugal,Porto
José Maria da Fonseca,2007,1597392,Alambre Moscatel de Setúbal 2007,4.2,97,11.59,Portugal,Setúbal
Sandeman,1980,1142829,Vintage Port 1980,0.0,19,77.24,Portugal,Porto
Dow's,1962,80415,Vintage Port 1962,0.0,3,369.92,Portugal,Porto
Burmester,1977,76382,Vintage Port 1977,0.0,16,134.15,Portugal,Porto
Krohn,1997,1197096,Late Bottled Vintage Port 1997,0.0,3,36.59,Portugal,Porto
Borges,1999,1141833,Vintage Port 1999,0.0,0,115.0,Portugal,Porto
Blandy's,1969,1183551,Bual Madeira 1969,0.0,0,400.0,Portugal,Madeira
Rozès,1998,1135751,Vintage Port 1998,3.6,45,28.46,Portugal,Porto
Krohn,1977,1136061,Colheita Port 1977,4.5,29,101.63,Portugal,Porto
Taylor's,1982,69744,Vintage Port 1982,0.0,15,97.56,Portugal,Porto
Quinta do Noval,1985,2242915,Late Bottled Vintage Port 1985,0.0,14,88.82,Portugal,Porto
Quinta do Noval,2004,81371,Late Bottled Vintage Unfiltered Port 2004,4.2,74,56.5,Portugal,Porto
Real Companhia Velha,1945,1144184,Colheita Port 1945,0.0,0,378.05,Portugal,Porto
Dow's,1965,80417,Colheita Single Harvest Tawny Port 1965,0.0,0,166.67,Portugal,Porto
Barros,1985,1189822,Colheita Porto 1985,4.5,28,52.85,Portugal,Porto
Niepoort,1984,1636879,Late Bottled Vintage Port 1984,4.6,33,150.41,Portugal,Porto
Cálem,1983,1136082,Vintage Port 1983,4.2,65,50.81,Portugal,Porto
Dow's,1980,80415,Vintage Port 1980,4.5,111,134.15,Portugal,Porto
Real Companhia do Norte,1985,1246579,Vintage Port 1985,0.0,18,52.85,Portugal,Porto
Krohn,1952,1136061,Colheita Port 1952,0.0,9,215.45,Portugal,Porto
Taylor's,2016,88352,Quinta de Vargellas Vintage Port 2016,0.0,5,88.33333333333333,Portugal,Porto
Barão de Vilar,2008,1844670,Reserve Porto 2008,0.0,10,22.61,Portugal,Porto
Duorum,2012,1645912,D by Duorum Porto Tawny 2012,0.0,2,18.95,Portugal,Porto
Niepoort,2015,8971,Colheita Port 2015,4.1,56,28.95,Portugal,Porto
Barão de Vilar,1982,1844670,Reserve Porto 1982,0.0,0,141.45,Portugal,Porto
C. da Silva,1940,1155199,Dalva Vintage Porto 1940,0.0,0,886.93,Portugal,Porto
Barão de Vilar,1934,1844670,Reserve Porto 1934,0.0,0,656.7,Portugal,Porto
Kopke,2005,1187024,Port Crystal Fine White 2005,0.0,0,53.48,Portugal,Porto
Poças,2001,1149238,Late Bottled Vintage Porto 2001,3.7,29,59.21,Portugal,Porto
Barão de Vilar,1950,1844670,Reserve Porto 1950,0.0,0,783.1,Portugal,Porto
Barão de Vilar,2007,1844670,Reserve Porto 2007,0.0,1,24.85,Portugal,Porto
C. da Silva,2007,1905706,Dalva Moscatel do Douro 2007,0.0,7,46.37,Portugal,Douro
Barão de Vilar,1947,1844670,Reserve Porto 1947,0.0,0,525.54,Portugal,Porto
C. da Silva,1985,1155199,Dalva Vintage Porto 1985,0.0,15,141.67,Portugal,Porto
Barão de Vilar,1977,1844670,Reserve Porto 1977,0.0,0,90.42,Portugal,Porto
Barão de Vilar,2003,1844670,Reserve Porto 2003,0.0,0,53.3,Portugal,Porto
Barão de Vilar,1947,1844670,Reserve Porto 1947,0.0,0,525.54,Portugal,Porto
Pacheca,N.V.,6878419,Ruby Reserve Port N.V.,4.1,138,20.0,Portugal,Porto
Quinta Nova de Nossa Senhora do Carmo,1996,1200390,Late Bottled Vintage Port 1996,0.0,9,75.0,Portugal,Porto
Borges,1920,1141833,Vintage Port 1920,0.0,2,950.0,Portugal,Porto
Ferreira,2009,75987,Late Bottled Vintage Port 2009,4.0,344,25.0,Portugal,Porto
Quinta Da Peça,2003,1199478,LBV Porto 2003,0.0,4,49.9,Portugal,Porto
Krohn,1997,1317262,Vintage Port 1997,0.0,3,135.0,Portugal,Porto
Valriz,2004,1247456,Ruby Porto 2004,0.0,0,49.0,Portugal,Porto
Krohn,1964,2072913,Colheita Porto Branco 1964,4.7,45,250.0,Portugal,Porto
Barão de Vilar,1950,1844670,Reserve Porto 1950,0.0,0,783.1,Portugal,Porto
Poças,1994,1149238,Late Bottled Vintage Porto 1994,0.0,3,75.0,Portugal,Porto
Sandeman,1957,1142829,Vintage Port 1957,0.0,4,1950.0,Portugal,Porto
Ramos Pinto,2000,1368603,Late Bottled Vintage Port 2000,4.3,101,57.0,Portugal,Porto
Duorum,2012,1645912,D by Duorum Porto Tawny 2012,0.0,2,18.95,Portugal,Porto
Niepoort,2015,8971,Colheita Port 2015,4.1,56,28.95,Portugal,Porto
Justino's Madeira,1997,1243366,Vinho Madeira Doce 1997,0.0,2,35.4,Portugal,Madeira
Croft,2015,80040,Vintage Port 2015,0.0,4,52.4,Portugal,Porto
Warre's,1986,1999868,Warrior Finest Reserve Ruby Port 1986,0.0,0,155.4,Portugal,Porto
W. & J. Graham's,2015,45454,Vintage Port 2015,0.0,24,198.45,Portugal,Porto
Ramos Pinto,2018,13303,Vintage Porto 2018,0.0,0,73.5,Portugal,Porto
Dow's,2015,80415,Vintage Port 2015,0.0,12,76.65,Portugal,Porto
Niepoort,1985,8971,Colheita Port 1985,0.0,18,109.76,Portugal,Porto
Niepoort,1975,1636879,Late Bottled Vintage Port 1975,4.6,32,117.89,Portugal,Porto
Fonseca,1984,1206377,Vintage Port 1984,0.0,2,183.75,Portugal,Porto
C. da Silva,1989,1736780,Armilar Porto Rosé 1989,0.0,0,128.29,Portugal,Porto
Porto Cruz,1998,5376783,Gran Cruz Colheita Porto 1998,4.2,45,29.89,Portugal,Porto
Alves de Sousa,2018,1194130,Quinta da Gaivosa Vintage Porto 2018,0.0,23,52.89,Portugal,Porto
Agri-Roncão,2016,1596930,DR Vintage Port 2016,0.0,3,49.9,Portugal,Porto
Piano,N.V.,5192888,Porto White N.V.,4.0,36,5.95,Portugal,Porto
Quinta do Estanho,1995,1179495,Vintage Port 1995,0.0,6,85.0,Portugal,Porto
Sandeman,2000,1179680,Quinta do Vau Vintage Port 2000,4.2,238,32.11,Portugal,Porto
Quevedo,2018,1579219,Vintage Port 2018,0.0,4,59.0,Portugal,Porto
Vasques de Carvalho,N.V.,6788464,White Reserva Porto Branco N.V.,4.1,151,23.5,Portugal,Porto
Offley,2001,1153075,Colheita Porto (Barão de Forrester) 2001,3.9,107,39.0,Portugal,Porto
Sandeman,2016,1179680,Quinta do Vau Vintage Port 2016,0.0,5,67.0,Portugal,Porto
Bacalhôa,2000,2694002,Moscatel De Setúbal Superior 2000,0.0,9,54.9,Portugal,Setúbal
Quevedo,2014,1180569,Late Bottled Vintage Port 2014,3.9,97,17.9,Portugal,Porto
Poças,2000,1150822,Vintage Port 2000,3.8,53,34.02,Portugal,Porto
Pacheca,2012,1810916,Late Bottled Vintage Port 2012,4.2,173,44.5,Portugal,Porto
Porto Cruz,1998,1650551,Gran Cruz Port 1998,0.0,4,33.42,Portugal,Porto
Horácio Simões,2020,1217364,Moscatel de Setúbal 2020,3.9,52,7.65,Portugal,Setúbal
Quinta do Vallado,2016,7729998,Vintage Porto 2016,0.0,24,43.0,Portugal,Porto
Niepoort,1935,8971,Colheita Port 1935,0.0,8,1040.95,Portugal,Porto
Rozès,2016,1135937,Port Late Bottled Vintage 2016,3.7,46,28.5,Portugal,Porto
Horácio Simões,2021,1299513,Moscatel Roxo 2021,0.0,2,11.15,Portugal,Setúbal
Cálem,N.V.,1143839,Porto Ruby Old Friends N.V.,3.3,360,5.3,Portugal,Porto
Borges,N.V.,4558773,Soalheira 20 Years Old Tawny Port N.V.,4.2,116,64.75,Portugal,Porto
Pacheca,2000,1258698,Vintage Port 2000,4.5,61,68.0,Portugal,Porto
Kopke,1961,76372,Colheita Port 1961,4.7,36,420.0,Portugal,Porto
Pacheca,2002,1258698,Vintage Port 2002,0.0,10,60.0,Portugal,Porto
W. & J. Graham's,1997,3271672,Vintage Port Diamond Jubilee Colheita 1997,0.0,0,110.0,Portugal,Porto
Krohn,1965,1136061,Colheita Port 1965,4.6,34,275.0,Portugal,Porto
Warre's,1982,1148781,Vintage Port 1982,0.0,12,105.0,Portugal,Porto
Quinta da Prelada,2008,1136808,Vintage Porto 2008,4.1,49,79.0,Portugal,Porto
Cálem,1982,1136082,Vintage Port 1982,0.0,1,89.0,Portugal,Porto
Porto Cruz,1992,5376783,Gran Cruz Colheita Porto 1992,4.0,112,35.0,Portugal,Porto
Quinta do Castelinho,1999,1179372,Vintage Port 1999,4.1,58,45.0,Portugal,Porto
Royal Oporto,2000,81181,Colheita Porto 2000,4.1,170,35.0,Portugal,Porto
Real Companhia Velha,2009,1266123,Vintage Port 2009,0.0,20,40.0,Portugal,Porto
Dow's,1969,80417,Colheita Single Harvest Tawny Port 1969,4.6,39,295.0,Portugal,Porto
Barros,1960,1189822,Colheita Porto 1960,0.0,8,375.0,Portugal,Porto
H. M. Borges,1977,1650191,Boal Madeira Colheita Harvest 1977,0.0,4,159.0,Portugal,Madeira
H. M. Borges,1990,1270110,Sercial Madeira 1990,4.4,27,104.9,Portugal,Madeira
Messias,1990,1220167,Quinta do Cachão LBV Port 1990,0.0,13,240.0,Portugal,Porto
São Pedro das Aguias,N.V.,3101187,Tawny Porto N.V.,3.7,39,8.0,Portugal,Porto
Messias,1985,20625,Porto Ruby 1985,0.0,0,49.8,Portugal,Porto
Rozès,2007,1135937,Port Late Bottled Vintage 2007,3.7,96,27.0,Portugal,Porto
Messias,1982,20625,Porto Ruby 1982,0.0,0,77.24,Portugal,Porto
Niepoort,2007,1636879,Late Bottled Vintage Port 2007,3.7,307,24.5,Portugal,Porto
Messias,1982,20620,Porto Sweet White 1982,0.0,0,76.0,Portugal,Porto
Cálem,2020,1136082,Vintage Port 2020,0.0,5,54.0,Portugal,Porto
Blackett,N.V.,4783882,Reserve Tawny N.V.,4.0,167,17.25,Portugal,Porto
Quevedo,N.V.,6896796,Dry White Port N.V.,3.1,55,8.2,Portugal,Porto
Niepoort,1995,8971,Colheita Port 1995,4.3,39,35.5,Portugal,Porto
Quevedo,2017,1579219,Vintage Port 2017,0.0,2,59.0,Portugal,Porto
Krohn,2011,1197096,Late Bottled Vintage Port 2011,4.1,82,17.5,Portugal,Porto
Messias,2018,20620,Porto Sweet White 2018,0.0,0,50.96,Portugal,Porto
Ferreira,2018,6075656,Quinta do Porto Vintage Port 2018,0.0,14,130.0,Portugal,Porto
Rozès,2014,1135937,Port Late Bottled Vintage 2014,3.7,86,25.0,Portugal,Porto
Casa Santa Eufemia,N.V.,1257655,10 Anos Tawny Port N.V.,4.1,130,25.0,Portugal,Porto
Quinta do Castelinho,1982,1147282,Colheita Port 1982,0.0,23,40.0,Portugal,Porto
Ramos Pinto,1975,13303,Vintage Porto 1975,0.0,23,117.89,Portugal,Porto
