Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Oboé,2009,1184243,Grande Escolha 2009,4.3,80,52.0,Portugal,Douro
Paulo Laureano,2010,1252796,Selectio Grossa 2010,3.9,333,38.0,Portugal,Alentejo
Adega Regional de Colares,2010,1438794,Arenae Tinto 2010,3.9,89,32.0,Portugal,Colares
Quinta da Massôrra,2018,2377895,Reserva Tinto 2018,0.0,11,14.0,Portugal,Minho
Dona Berta,2013,2521047,Sousão Reserva Especial 2013,0.0,24,26.0,Portugal,Douro
Terra d'Alter,2013,1180697,Alentejano Outeiro 2013,4.1,401,26.0,Portugal,Alentejano
Quinta Casa Amarela,2019,2280924,Elísio Grande Reserva 2019,0.0,1,35.0,Portugal,Douro
Oboé,2003,1184243,Grande Escolha 2003,4.0,30,55.0,Portugal,Douro
Alves de Sousa,2015,1721323,Reserva Pessoal Tinto 2015,0.0,0,53.0,Portugal,Douro
Paulo Laureano,2009,1758652,Vidigueira Reserve Vinea Julieta Talhão 24 Tinto 2009,4.3,160,67.0,Portugal,Vidigueira
Quinta de Sant'Ana,2011,1214295,Reserva 2011,4.2,52,60.0,Portugal,Lisboa
Churchill's,2012,1651607,Estates Grande Reserva Douro 2012,4.1,230,35.0,Portugal,Douro
Arrepiado Velho,2015,5980678,Amma Red 2015,4.6,136,125.0,Portugal,Alentejo
Dona Maria,2015,2441198,Petit Verdot 2015,4.1,184,25.0,Portugal,Alentejano
Adega Regional de Colares,2009,1438794,Arenae Tinto 2009,3.8,99,37.0,Portugal,Colares
Cave Real,2018,2092026,Reserva Tinto 2018,0.0,16,7.6,Portugal,Douro
Encontro,2007,1214568,Touriga Nacional 2007,3.8,32,15.95,Portugal,Bairrada
Quinta da Carvalhosa,2003,75018,Campo Ardosa 2003,4.3,26,45.0,Portugal,Douro
Marquês de Marialva,2015,1522830,Baga Reserva 2015,3.9,1502,29.95,Portugal,Bairrada
Artefacto,2018,1274518,Tinto 2018,3.5,49,5.95,Portugal,Alentejano
Quinta das Camelias,2012,1204148,Reserva 2012,3.8,321,7.9,Portugal,Dão
Casa do Canto,2015,7702275,Grande Reserva Tinto 2015,4.4,104,34.21,Portugal,Bairrada
Nunes Barata,2013,2168321,Tinto 2013,3.5,60,5.95,Portugal,Alentejano
Titular,2012,2867649,Reserva 2012,3.6,109,11.27,Portugal,Dão
Rovisco Garcia,2012,1620614,Alentejano Tinto 2012,3.7,97,6.95,Portugal,Alentejano
Herdade do Monte Branco,2015,3990433,Rafeiro Tinto 2015,3.6,259,6.5,Portugal,Alentejano
Quinta do Perdigão,2017,1217229,Reserva 2017,0.0,1,13.95,Portugal,Dão
Herdade dos Coteis,2019,1492435,Reserva 2019,4.2,405,10.95,Portugal,Alentejano
Vinho da Ordem,2013,1713245,Tinto 2013,0.0,11,15.95,Portugal,Beira Interior
Calços do Tanha,2014,1315367,Tinto 2014,3.7,55,6.5,Portugal,Douro
Quinta do Monte d'Oiro,2019,1203197,Lybra Syrah 2019,0.0,4,11.95,Portugal,Lisboa
Domaine Bento and Chapoutier,2013,1361103,Ex Aequo 2013,4.3,50,54.95,Portugal,Lisboa
Monte da Ravasqueira,2014,1648179,Vinha das Romãs Tinto 2014,3.9,1034,16.5,Portugal,Alentejano
Lavradores de Feitoria,2008,1855353,Quinta Da Costa Das Aguaneiras 2008,4.1,31,19.95,Portugal,Douro
Quinta do Pôpa,2013,1192943,Contos da Terra Tinto 2013,3.5,163,5.95,Portugal,Douro
Vicentino,2020,9860894,Naked Pinot Noir 2020,3.7,104,11.5,Portugal,Alentejo
Quinta da Fronteira,2014,1305819,Grande Escolha 2014,0.0,2,22.95,Portugal,Douro
Quinta de Pancas,2015,3500011,Cabernet Sauvignon Special Selection 2015,4.2,103,22.95,Portugal,Lisboa
Quinta da Marka,2008,1444637,Marka Tinto 2008,3.5,31,21.9,Portugal,Douro
Vasques de Carvalho,2013,1231335,X Bardos 2013,4.2,57,23.5,Portugal,Douro
Pinga Amores,2009,1489240,Colheita Seleccionada 2009,0.0,9,12.9,Portugal,Alentejo
Quinta do Valdoeiro,2011,1733592,Cabernet Sauvignon 2011,3.6,39,7.5,Portugal,Bairrada
Quinta da Foz,2014,1789029,Tinto 2014,3.6,30,11.95,Portugal,Douro
Zimbro,2014,6217102,5 Marias 2014,4.3,55,18.95,Portugal,Douro
Quinta da Falorca,2003,1497327,Garrafeira Old Vines 2003,4.5,34,49.95,Portugal,Dão
Quinta do Bucheiro,2012,1577300,Ceirós Tinto 2012,3.2,115,3.95,Portugal,Douro
Quinta das Carvalhas,2011,1647655,Douro 'Carvalhas' Tinta Francisca 2011,4.1,92,39.9,Portugal,Douro
São Domingos,2012,1988305,Bairrada Tinto 2012,3.5,43,6.7,Portugal,Bairrada
Encontro,2009,75651,Q do E Preto Branco Reserva 2009,3.5,62,18.95,Portugal,Bairrada
Lua Cheia - Saven,2018,2574294,Andreza Grande Reserva Tinto 2018,0.0,1,8.95,Portugal,Douro
Quinta Nova de Nossa Senhora do Carmo,2016,1269166,Grainha Reserva 2016,4.1,924,27.55,Portugal,Douro
Colinas de São Lourenço,2012,1230185,Bairrada Red 2012,3.4,161,22.4,Portugal,Bairrada
Ramos Pinto,2007,1741942,Reserva Especial Duas Quintas Tinto 2007,4.4,224,79.95,Portugal,Douro
Baton,2008,1175940,Tom de Baton Tinto 2008,3.7,174,17.95,Portugal,Douro
Quinta dos Carvalhais,2018,76098,Alfrocheiro Dão 2018,0.0,4,18.95,Portugal,Dão
Quinta de Arcossó,2017,1601201,Superior Bago a Bago 2017,4.4,72,36.95,Portugal,Trás-os-Montes
Solar dos Lobos,2014,2533375,Syrah 2014,4.0,76,12.9,Portugal,Alentejo
Quinta da Falorca,2005,1524282,Reserva Lagar 2005,0.0,6,64.95,Portugal,Dão
Pinhal Da Torre,2001,1157754,Quinta do Alqueve Tradicional Tinto 2001,0.0,16,45.0,Portugal,Ribatejo
Herdade do Sobroso,2011,1208733,Tinto 2011,3.5,133,5.75,Portugal,Alentejo
Torre de Coimbra,2010,1911299,Bairrada Tinto 2010,3.2,129,8.7,Portugal,Bairrada
Poeira,2018,1210451,51 Barricas 2018,0.0,1,39.95,Portugal,Douro
São Domingos,2015,1802682,Garrafeira Dão 2015,0.0,0,11.01,Portugal,Dão
João M Barbosa,2008,1287360,Lapa dos Gaivões Escolha 2008,3.8,75,14.95,Portugal,Alentejano
Quinta S. João Batista,2007,1187390,Reserva Syrah 2007,3.9,70,10.95,Portugal,Ribatejo
Quinta do Soque,2009,1240120,Tinto 2009,3.5,127,7.5,Portugal,Douro
Quinta do Garrido,2016,5365110,Checkmate Shiraz 2016,3.7,66,7.95,Portugal,Lisboa
Monte do Pintor,2008,1216585,Reserva Alentejano 2008,4.0,334,22.95,Portugal,Alentejano
Herdade das Servas,2015,5172371,Sem Barrica Tinto 2015,3.8,150,12.95,Portugal,Alentejano
Rovisco Garcia,2011,1510031,Reserva 2011,3.8,68,11.95,Portugal,Alentejano
Mira do Ó,2018,3093996,Druida 2018,4.0,82,22.95,Portugal,Dão
Couquinho,2015,1209304,Grande Reserva Tinto 2015,0.0,6,59.9,Portugal,Douro
Vinha de Reis,2010,1184854,Touriga Nacional 2010,3.8,100,12.85,Portugal,Dão
Quinta de S. José,2014,1245750,Tinto 2014,3.9,404,10.95,Portugal,Douro
Quinta de Cidrô,2007,1246181,Cabernet Sauvignon - Touriga Nacional 2007,4.1,123,24.95,Portugal,Douro
Titular,2015,2711950,Jaen 2015,3.3,86,8.95,Portugal,Dão
Cartuxa,2009,76429,Scala Coeli Tinto 2009,4.6,245,65.0,Portugal,Alentejo
Quinta do Monte d'Oiro,2010,1275912,Aurius Red Blend 2010,4.0,37,24.0,Portugal,Lisboa
Niepoort,2017,9516067,Sem Maneiras Edição Limitada Tinto 2017,3.4,238,9.5,Portugal,Portalegre
Quinta da Cortezia,1997,1243325,Touriga Nacional 1997,0.0,7,15.0,Portugal,Lisboa
Quinta dos Frades,2016,6519958,Grande Reserva Vinhas Velhas 2016,0.0,5,28.5,Portugal,Douro
Bacalhôa,2013,18529,Península de Setúbal Palácio da Bacalhôa Tinto 2013,4.2,734,54.0,Portugal,Península de Setúbal
Herdade da Comporta,2010,2439194,Vinhas da Comporta Tinto 2010,0.0,0,30.0,Portugal,Península de Setúbal
Xutos & Pontapés,2017,1894092,Tinto 2017,3.8,40,9.0,Portugal,Alentejano
Rola,2016,5568653,Vinha das Marias Tinto 2016,4.2,38,26.0,Portugal,Douro
Felix Rocha,1959,1534294,Colheita Seleccionada Red 1959,0.0,0,353.66,Portugal,Lisboa
Niepoort,2018,2899486,Douro Turris 2018,0.0,5,115.0,Portugal,Douro
Maritávora,2004,1782179,No. 4 Reserva Tinto 2004,0.0,5,60.0,Portugal,Douro
Dom Dinis,2008,4291197,Reserva 2008,0.0,1,6.49,Portugal,Tejo
Maritávora,2008,1782179,No. 4 Reserva Tinto 2008,0.0,9,45.0,Portugal,Douro
Symington,2016,5780044,Vale do Bomfim 2016,3.7,627,20.0,Portugal,Douro
Luis Pato,2015,1859648,Pato D'Oiro 2015,0.0,1,190.0,Portugal,Bairrada
Quinta da Romaneira,2011,1201768,Reserva Tinto 2011,4.3,320,45.0,Portugal,Douro
