Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Cave Real,2018,2092026,Reserva Tinto 2018,0.0,16,7.6,Portugal,Douro
Dona Maria,2015,2441198,Petit Verdot 2015,4.1,184,25.0,Portugal,Alentejano
Quinta de Sant'Ana,2011,1214295,Reserva 2011,4.2,52,60.0,Portugal,Lisboa
Quinta Casa Amarela,2019,2280924,Elísio Grande Reserva 2019,0.0,1,35.0,Portugal,Douro
Churchill's,2012,1651607,Estates Grande Reserva Douro 2012,4.1,230,35.0,Portugal,Douro
Arrepiado Velho,2015,5980678,Amma Red 2015,4.6,136,125.0,Portugal,Alentejo
Oboé,2009,1184243,Grande Escolha 2009,4.3,80,52.0,Portugal,Douro
Paulo Laureano,2010,1252796,Selectio Grossa 2010,3.9,333,38.0,Portugal,Alentejo
Adega Regional de Colares,2009,1438794,Arenae Tinto 2009,3.8,99,37.0,Portugal,Colares
Oboé,2003,1184243,Grande Escolha 2003,4.0,30,55.0,Portugal,Douro
Alves de Sousa,2015,1721323,Reserva Pessoal Tinto 2015,0.0,0,53.0,Portugal,Douro
Paulo Laureano,2009,1758652,Vidigueira Reserve Vinea Julieta Talhão 24 Tinto 2009,4.3,160,67.0,Portugal,Vidigueira
Adega Regional de Colares,2010,1438794,Arenae Tinto 2010,3.9,89,32.0,Portugal,Colares
Quinta da Massôrra,2018,2377895,Reserva Tinto 2018,0.0,11,14.0,Portugal,Minho
Dona Berta,2013,2521047,Sousão Reserva Especial 2013,0.0,24,26.0,Portugal,Douro
Terra d'Alter,2013,1180697,Alentejano Outeiro 2013,4.1,401,26.0,Portugal,Alentejano
Cartuxa,2009,76429,Scala Coeli Tinto 2009,4.6,245,65.0,Portugal,Alentejo
Encontro,2007,1214568,Touriga Nacional 2007,3.8,32,15.95,Portugal,Bairrada
Quinta da Carvalhosa,2003,75018,Campo Ardosa 2003,4.3,26,45.0,Portugal,Douro
Artefacto,2018,1274518,Tinto 2018,3.5,49,5.95,Portugal,Alentejano
Quinta das Camelias,2012,1204148,Reserva 2012,3.8,321,7.9,Portugal,Dão
Nunes Barata,2013,2168321,Tinto 2013,3.5,60,5.95,Portugal,Alentejano
Titular,2012,2867649,Reserva 2012,3.6,109,11.27,Portugal,Dão
Domaine Bento and Chapoutier,2013,1361103,Ex Aequo 2013,4.3,50,54.95,Portugal,Lisboa
Monte da Ravasqueira,2014,1648179,Vinha das Romãs Tinto 2014,3.9,1034,16.5,Portugal,Alentejano
Lavradores de Feitoria,2008,1855353,Quinta Da Costa Das Aguaneiras 2008,4.1,31,19.95,Portugal,Douro
Quinta do Pôpa,2013,1192943,Contos da Terra Tinto 2013,3.5,163,5.95,Portugal,Douro
Couquinho,2015,1209304,Grande Reserva Tinto 2015,0.0,6,59.9,Portugal,Douro
Vinha de Reis,2010,1184854,Touriga Nacional 2010,3.8,100,12.85,Portugal,Dão
Quinta de S. José,2014,1245750,Tinto 2014,3.9,404,10.95,Portugal,Douro
Herdade do Monte Branco,2015,3990433,Rafeiro Tinto 2015,3.6,259,6.5,Portugal,Alentejano
Quinta do Perdigão,2017,1217229,Reserva 2017,0.0,1,13.95,Portugal,Dão
Herdade dos Coteis,2019,1492435,Reserva 2019,4.2,405,10.95,Portugal,Alentejano
Quinta de Cidrô,2007,1246181,Cabernet Sauvignon - Touriga Nacional 2007,4.1,123,24.95,Portugal,Douro
Vinho da Ordem,2013,1713245,Tinto 2013,0.0,11,15.95,Portugal,Beira Interior
Quinta Nova de Nossa Senhora do Carmo,2016,1269166,Grainha Reserva 2016,4.1,924,27.55,Portugal,Douro
Colinas de São Lourenço,2012,1230185,Bairrada Red 2012,3.4,161,22.4,Portugal,Bairrada
Rovisco Garcia,2012,1620614,Alentejano Tinto 2012,3.7,97,6.95,Portugal,Alentejano
Baton,2008,1175940,Tom de Baton Tinto 2008,3.7,174,17.95,Portugal,Douro
Quinta dos Carvalhais,2018,76098,Alfrocheiro Dão 2018,0.0,4,18.95,Portugal,Dão
Quinta de Arcossó,2017,1601201,Superior Bago a Bago 2017,4.4,72,36.95,Portugal,Trás-os-Montes
Solar dos Lobos,2014,2533375,Syrah 2014,4.0,76,12.9,Portugal,Alentejo
Quinta da Falorca,2005,1524282,Reserva Lagar 2005,0.0,6,64.95,Portugal,Dão
Pinhal Da Torre,2001,1157754,Quinta do Alqueve Tradicional Tinto 2001,0.0,16,45.0,Portugal,Ribatejo
Ramos Pinto,2007,1741942,Reserva Especial Duas Quintas Tinto 2007,4.4,224,79.95,Portugal,Douro
São Domingos,2015,1802682,Garrafeira Dão 2015,0.0,0,11.01,Portugal,Dão
João M Barbosa,2008,1287360,Lapa dos Gaivões Escolha 2008,3.8,75,14.95,Portugal,Alentejano
Herdade das Servas,2015,5172371,Sem Barrica Tinto 2015,3.8,150,12.95,Portugal,Alentejano
Rovisco Garcia,2011,1510031,Reserva 2011,3.8,68,11.95,Portugal,Alentejano
Quinta S. João Batista,2007,1187390,Reserva Syrah 2007,3.9,70,10.95,Portugal,Ribatejo
Quinta Nova de Nossa Senhora do Carmo,2016,1269166,Grainha Reserva 2016,4.1,924,27.55,Portugal,Douro
Colinas de São Lourenço,2012,1230185,Bairrada Red 2012,3.4,161,22.4,Portugal,Bairrada
Ramos Pinto,2007,1741942,Reserva Especial Duas Quintas Tinto 2007,4.4,224,79.95,Portugal,Douro
Baton,2008,1175940,Tom de Baton Tinto 2008,3.7,174,17.95,Portugal,Douro
