Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Encontro,2013,1851682,Special Cuvée 2013,0.0,10,32.95,Portugal,Bairrada
Quinta do Ortigao,2017,2711085,Espumante Rosé 2017,0.0,3,5.7,Portugal,Bairrada
Murganheira,2018,1287034,Malvasia Fina Bruto 2018,0.0,19,14.0,Portugal,Távora-Varosa
Murganheira,2016,1691632,Extréme de Pinot Blanc Brut 2016,0.0,8,24.5,Portugal,Távora-Varosa
Provam,2020,1839505,Castas de Monção Reserva Método Classico 2020,0.0,3,7.88,Portugal,Vinho Verde
Caves Transmontanas,2012,1442114,Vértice Gouveio Bruto 2012,4.2,72,25.8,Portugal,Douro
Giz,2019,7751153,Cuvée de Noirs 2019,0.0,19,29.9,Portugal,Bairrada
Valados de Melgaço,2018,5678028,Reserva Alvarinho Extra Bruto 2018,3.8,62,12.0,Portugal,Monção e Melgaço
Valados de Melgaço,2017,5678028,Reserva Alvarinho Extra Bruto 2017,4.1,60,25.0,Portugal,Monção e Melgaço
Quinta da Atela,2019,6887793,Frisante Branco 2019,0.0,2,6.4,Portugal,Tejo
Herdade do Rocim,2017,5774536,Brut Nature Rosé 2017,3.8,77,14.3,Portugal,Alentejano
Cartuxa,2013,1829667,Évora Espumante Bruto 2013,3.8,227,26.5,Portugal,Évora
Caves Transmontanas,2013,1268497,Vértice Millesimé 2013,4.1,130,25.5,Portugal,Douro
Murganheira,2017,1712635,Reserva Bruto 2017,3.8,191,12.0,Portugal,Távora-Varosa
Murganheira,2015,1261672,Super Reserva Bruto 2015,4.0,392,13.0,Portugal,Távora-Varosa
Caves Transmontanas,2018,1671105,Vértice Rosé 2018,3.8,42,16.8,Portugal,Douro
Vale do Rodo,N.V.,1962643,Cabeça de Burro Espumante Bruto N.V.,3.7,119,13.9,Portugal,Douro
Cooperativa Agricola de Felgueiras,2021,9493724,Terras de Felgueiras Espumante de Vinho Verde Seco Dry Rosado Sparkling 2021,0.0,4,8.95,Portugal,Vinho Verde
Quinta do Regueiro,2020,1458103,Alvarinho Bruto 2020,0.0,16,10.9,Portugal,Monção e Melgaço
Colinas,2011,8720379,Cuvée Brut Reserve Rosé de Pinots 2011,0.0,5,39.9,Portugal,Bairrada
Caves Transmontanas,2012,1268497,Vértice Millesimé 2012,3.9,116,24.0,Portugal,Douro
Quinta das Bágeiras,2021,1577156,Bruto Natural Branco 2021,0.0,21,8.7,Portugal,Bairrada
Aliança,2019,67674,Baga Bairrada Reserva Rosé Bruto 2019,0.0,14,8.0,Portugal,Bairrada
Murganheira,2016,1261672,Super Reserva Bruto 2016,4.1,317,8.3,Portugal,Távora-Varosa
São Domingos,2014,2375770,Tinto Bruto 2014,3.3,52,10.49,Portugal,Bairrada
Obelisco,2017,1247934,Frisante Rosé 2017,0.0,3,5.25,Portugal,Tejo
Murganheira,2008,2081951,Chardonnay Bruto 2008,3.9,39,26.95,Portugal,Távora-Varosa
São Domingos,2014,2375770,Tinto Bruto 2014,3.3,52,10.49,Portugal,Bairrada
São Domingos,2014,2407250,Baga Bruto 2014,0.0,8,17.49,Portugal,Bairrada
Murganheira,2010,1304979,Millesimé Bruto 2010,0.0,1,15.49,Portugal,Beiras
Murganheira,2013,2081951,Chardonnay Bruto 2013,3.9,26,11.3,Portugal,Távora-Varosa
Campolargo,2014,2051824,Espumante Bruto Rosé 2014,3.9,28,17.5,Portugal,Bairrada
Campolargo,2013,1571942,Borga Espumante Bruto 2013,3.9,46,19.9,Portugal,Bairrada
Murganheira,2016,1973752,Vintage Bruto 2016,0.0,17,24.5,Portugal,Távora-Varosa
Soalheiro,2017,7233299,Alvarinho Bruto Barrica 2017,4.1,100,16.56,Portugal,Vinho Verde
Dona Berta,2017,2909172,Espumante Rabigato Reserva Bruto 2017,0.0,15,24.85,Portugal,Douro
Quintas de Melgaço,2016,2476123,QM Super Reserva Alvarinho Bruto 2016,4.3,50,18.98,Portugal,Vinho Verde
Murganheira,2015,1269429,Velha Reserva Bruto 2015,4.1,39,14.9,Portugal,Távora-Varosa
Quinta dos Carvalhais,2007,76108,Dão Reserva Bruto Rosé 2007,3.9,27,20.95,Portugal,Dão
Jose Carvalheira,2020,1691235,Hibernus Premier Brut 2020,4.2,48,29.95,Portugal,Bairrada
Távora,2020,1315184,Terras do Demo Touriga Nacional 2020,3.8,131,8.29,Portugal,Távora-Varosa
Murganheira,2015,3995029,Único Bruto 2015,4.2,31,17.95,Portugal,Távora-Varosa
Távora,2021,1315184,Terras do Demo Touriga Nacional 2021,3.8,77,8.29,Portugal,Távora-Varosa
Murganheira,2017,1269429,Velha Reserva Bruto 2017,0.0,19,15.33,Portugal,Távora-Varosa
Encontro,2015,1851682,Special Cuvée 2015,0.0,2,29.9,Portugal,Bairrada
Quinta do Ortigao,2020,1761354,Baga Bruto 2020,0.0,5,11.5,Portugal,Bairrada
Casal Garcia,N.V.,1720924,Espumante de Vinho Verde Meio Seco N.V.,3.7,1364,5.0,Portugal,Vinho Verde
Campolargo,2020,2051824,Espumante Bruto Rosé 2020,0.0,5,14.95,Portugal,Bairrada
São Domingos,2019,1912983,Blanc de Blancs Bruto 2019,0.0,6,9.95,Portugal,Bairrada
Cartuxa,2014,1575487,Évora Espumante Reserva Bruto 2014,4.0,28,43.2,Portugal,Évora
Casal Garcia,N.V.,1720924,Espumante de Vinho Verde Meio Seco N.V.,3.7,1364,5.0,Portugal,Vinho Verde
Távora,2020,2460308,Terras do Demo Reserva Bruto 2020,0.0,0,7.8,Portugal,Távora-Varosa
Cartuxa,2014,1575487,Évora Espumante Reserva Bruto 2014,4.0,28,43.2,Portugal,Évora
Aliança,2016,6910033,Grande Reserva Bruto 2016,0.0,11,20.95,Portugal,Bairrada
Giroflé,N.V.,1986357,Espumante Bruto N.V.,3.7,198,10.7,Portugal,Douro
Kompassus,2015,1465525,Espumante Rosé 2015,0.0,22,16.46,Portugal,Bairrada
Cabriz,2017,3326712,Dão Método Classico Touriga Nacional Blanc de Noir 2017,0.0,0,7.24,Portugal,Dão
Sexy,2018,3982917,Cuvée Explosion d'Amour Grande Reserva 2018,0.0,21,18.57,Portugal,Alentejo
Quinta dos Abibes,2015,2223158,Sublime Brut Nature 2015,0.0,4,62.5,Portugal,Bairrada
Soalheiro,N.V.,1941901,Bruto Rosé N.V.,3.9,499,12.89,Portugal,Monção e Melgaço
São Domingos,2020,2694378,Rosé Bruto 2020,0.0,2,7.88,Portugal,Bairrada
Caves Transmontanas,2014,1268497,Vértice Millesimé 2014,4.2,73,26.2,Portugal,Douro
Caves Transmontanas,2013,1442114,Vértice Gouveio Bruto 2013,4.0,50,25.5,Portugal,Douro
Herdade do Perdigão,2009,2668218,Branco Bruto 2009,0.0,1,17.0,Portugal,Alentejano
Raposeira,2017,1815592,Super Reserva Bruto 2017,0.0,11,9.0,Portugal,Vinho de Portugal
Murganheira,2013,1799980,Touriga Nacional Blanc de Noirs Bruto 2013,0.0,16,26.0,Portugal,Távora-Varosa
Rama & Selas,2013,2563193,RS Rosé Bruto 2013,0.0,1,5.95,Portugal,Bairrada
Rama & Selas,2014,2563193,RS Rosé Bruto 2014,0.0,2,4.95,Portugal,Bairrada
Casa de Santar,2014,7083681,Vinha dos Amores Espumante de Touriga Nacional 2014,4.2,60,28.95,Portugal,Dão
Familia Hehn,2019,3046614,Reserva Espumante Bruto 2019,0.0,6,12.95,Portugal,Távora-Varosa
Caves Transmontanas,2019,1671105,Vértice Rosé 2019,3.7,73,15.9,Portugal,Douro
Campolargo,2007,2051824,Espumante Bruto Rosé 2007,0.0,0,23.0,Portugal,Bairrada
Quinta dos Abibes,2010,2223158,Sublime Brut Nature 2010,4.3,79,59.95,Portugal,Bairrada
Quinta das Bágeiras,2018,1577156,Bruto Natural Branco 2018,3.8,112,9.99,Portugal,Bairrada
