Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Quinta de Pacos,2020,7214684,Casa de Paços Reserva Arinto 2020,0.0,2,10.0,Portugal,Vinho Verde
Portugal Boutique Winery,2016,6170444,Guyot 2016,3.8,147,23.0,Portugal,Douro
Quinta do Ameal,2016,5515832,Escolha 2016,3.9,106,40.0,Portugal,Minho
Vale dos Ares,2019,6343344,Limited Edition Alvarinho 2019,0.0,13,14.0,Portugal,Vinho Verde
J. Cabral Almeida Wines,2021,2467412,Camaleão Alvarinho 2021,4.0,103,10.0,Portugal,Vinho Verde
Casa Ermelinda Freitas,2016,1243034,Sauvignon Blanc 2016,3.6,202,10.0,Portugal,Península de Setúbal
Casa de Cello,2012,1227192,Quinta de San Joanne Superior Branco 2012,0.0,16,33.0,Portugal,Minho
Quintas de Melgaço,2015,3979611,QM Homenagem Reserva Alvarinho 2015,4.2,39,28.0,Portugal,Monção e Melgaço
Casa dos Fontes,2014,1503465,Branco Premium 2014,3.4,29,5.9,Portugal,Vinho Verde
Quinta do Paraiso,2014,2708592,Superior 2014,0.0,3,7.9,Portugal,Baião
Grandjó,2003,2006227,Douro Branco (Seco) 2003,0.0,0,5.95,Portugal,Douro
Quinta de Sant'Ana,2021,2632940,Branco 2021,0.0,8,19.95,Portugal,Lisboa
Quinta de Cidrô,2012,1264395,Alvarinho 2012,3.7,113,13.95,Portugal,Douro
Herdade Barranco do Vale,2019,7401267,Branco 2019,0.0,14,11.95,Portugal,Algarve
Salvador,2017,1671895,Portal da Calçada Reserva Vinho Verde 2017,3.8,459,5.5,Portugal,Vinho Verde
Quinta do Pôpa,2013,2780656,Branco 2013,3.7,37,9.9,Portugal,Douro
Salvador,2016,3948503,Quinta da Calçada Vinhas Velhas Branco 2016,4.1,48,25.95,Portugal,Vinho Verde
Quinta dos Termos,2020,9133241,Alto de Pocinho Reserva Branco 2020,4.0,60,8.5,Portugal,Douro
Quinta da Silveira,2016,4650663,Branco 2016,0.0,1,12.0,Portugal,Douro
